, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1136,760,349,15,12
"""Hispanic/Latin(a)(o)(x)""",105,44,59,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",7,2,2,0,3
"""Total""",1249,806,411,17,15
