"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",31,0.13
"""Income and Sources (4.2) at Start""",199,0.2
"""Income and Sources (4.2) at Annual Assessment""",260,0.82
"""Income and Sources (4.2) at Exit""",90,0.43
