data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),29,0.21,data_quality,2015-11-01,2015-11-30,Q6c
Income and Sources (4.2) at Start,64,0.14,data_quality,2015-11-01,2015-11-30,Q6c
Income and Sources (4.2) at Annual Assessment,69,0.7,data_quality,2015-11-01,2015-11-30,Q6c
Income and Sources (4.2) at Exit,8,0.09,data_quality,2015-11-01,2015-11-30,Q6c
