"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",52,0.33
"""Income and Sources (4.2) at Start""",57,0.13
"""Income and Sources (4.2) at Annual Assessment""",76,0.72
"""Income and Sources (4.2) at Exit""",7,0.06
