, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",516,318,193,4,1
"""Hispanic/Latin(a)(o)(x)""",55,23,32,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",2,1,0,0,1
"""Total""",574,343,225,4,2
