"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",54,42
"""1-3 days""",19,2
"""4-6 days""",12,22
"""7-10 days""",31,17
"""11+ days""",83,74
