, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",589,342,228,11,8
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
