, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",839,559,262,11,7
"""Hispanic/Latin(a)(o)(x)""",77,35,42,0,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",2,0,1,0,1
"""Total""",919,594,306,11,8
