"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",10,4,6
"""31 to 60 days""",7,3,4
"""61 to 90 days""",5,4,1
"""91 to 180 days""",2,0,2
"""181 to 365 days""",1,0,1
"""366 to 730 Days (1-2 Yrs)""",1,0,1
"""731 to 1,095 Days (2-3 Yrs)""",0,0,0
"""1,096 to 1,460 Days (3-4 Yrs)""",0,0,0
"""1,461 to 1,825 Days (5-5 Yrs)""",2,0,2
"""More than 1,825 Days (>5 Yrs)""",0,0,0
"""Data Not Collected""",0,0,0
"""Total""",28,11,17
