"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",3,0.02
"""Income and Sources (4.2) at Start""",48,0.13
"""Income and Sources (4.2) at Annual Assessment""",76,0.7
"""Income and Sources (4.2) at Exit""",8,0.1
