"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",82,59
"""1-3 days""",0,4
"""4-6 days""",3,2
"""7-10 days""",1,3
"""11+ days""",38,53
