data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),3,0,8,11,0.01,data_quality,2022-01-01,2022-01-31,Q6a
Social Security Number (3.2),86,111,60,257,0.16,data_quality,2022-01-01,2022-01-31,Q6a
Date of Birth (3.3),5,14,0,19,0.01,data_quality,2022-01-01,2022-01-31,Q6a
Race (3.4),8,18,0,26,0.02,data_quality,2022-01-01,2022-01-31,Q6a
Ethinicity (3.5),8,15,0,23,0.01,data_quality,2022-01-01,2022-01-31,Q6a
Gender (3.6),1,7,0,8,0.0,data_quality,2022-01-01,2022-01-31,Q6a
Overall Score,0,0,0,278,0.17,data_quality,2022-01-01,2022-01-31,Q6a
