data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),229,217,0.95,data_quality,2022-01-01,2022-01-31,Q6f
Bed Night (All clients in ES - NBN),127,93,0.73,data_quality,2022-01-01,2022-01-31,Q6f
