age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,2,1,3,1,parenting_youth,2022-01-01,2022-01-31,Q27b
Parent youth 18 to 24,13,14,28,10,parenting_youth,2022-01-01,2022-01-31,Q27b
