age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2019-09-01,2019-09-30,Q27b
Parent youth 18 to 24,15,19,34,13,parenting_youth,2019-09-01,2019-09-30,Q27b
