"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",64,89
"""1-3 days""",12,7
"""4-6 days""",13,7
"""7-10 days""",0,0
"""11+ days""",105,97
