, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",660,313,338,8,1
"""Hispanic/Latin(a)(o)(x)""",73,29,43,1,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",736,343,381,9,3
