"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",180,50,130
"""31 to 60 days""",88,23,65
"""61 to 90 days""",47,11,36
"""91 to 180 days""",83,18,65
"""181 to 365 days""",36,1,35
"""366 to 730 Days (1-2 Yrs)""",48,0,48
"""731 to 1,095 Days (2-3 Yrs)""",24,1,23
"""1,096 to 1,460 Days (3-4 Yrs)""",4,1,3
"""1,461 to 1,825 Days (5-5 Yrs)""",4,0,4
"""More than 1,825 Days (>5 Yrs)""",47,2,45
"""Data Not Collected""",0,0,0
"""Total""",561,107,454
