"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",11,0.1
"""Income and Sources (4.2) at Start""",52,0.12
"""Income and Sources (4.2) at Annual Assessment""",69,0.63
"""Income and Sources (4.2) at Exit""",12,0.15
