"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",50,12
"""1-3 days""",12,7
"""4-6 days""",6,0
"""7-10 days""",2,5
"""11+ days""",98,83
