, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",278,230,47,1,0
"""April""",0,0,0,0,0
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
