"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",96,82
"""1-3 days""",10,4
"""4-6 days""",1,3
"""7-10 days""",15,7
"""11+ days""",34,73
