"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",14,0.08
"""Income and Sources (4.2) at Start""",59,0.15
"""Income and Sources (4.2) at Annual Assessment""",82,0.81
"""Income and Sources (4.2) at Exit""",11,0.09
