, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",489,249,237,2,1
"""Hispanic/Latin(a)(o)(x)""",43,23,20,0,0
"""Client Doesn't Know/Client Refused""",2,2,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",535,274,257,2,2
