"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",162,73,89
"""31 to 60 days""",68,20,48
"""61 to 90 days""",50,16,34
"""91 to 180 days""",75,27,48
"""181 to 365 days""",69,30,39
"""366 to 730 Days (1-2 Yrs)""",20,1,19
"""731 to 1,095 Days (2-3 Yrs)""",16,1,15
"""1,096 to 1,460 Days (3-4 Yrs)""",13,0,13
"""1,461 to 1,825 Days (5-5 Yrs)""",11,0,11
"""More than 1,825 Days (>5 Yrs)""",51,1,50
"""Data Not Collected""",0,0,0
"""Total""",535,169,366
