"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",151,166
"""1-3 days""",40,8
"""4-6 days""",8,9
"""7-10 days""",10,2
"""11+ days""",26,69
