, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",0,0,0,0,0
"""July""",413,212,197,2,2
"""October""",0,0,0,0,0
