, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",503,248,252,2,1
"""Hispanic/Latin(a)(o)(x)""",43,21,22,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",547,269,274,2,2
