"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",9,0.06
"""Income and Sources (4.2) at Start""",63,0.17
"""Income and Sources (4.2) at Annual Assessment""",79,0.8
"""Income and Sources (4.2) at Exit""",10,0.1
