count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,233,55,90,start,2015-05-01,2015-05-31,Q13a2,without_children,86
None,233,55,90,start,2015-05-01,2015-05-31,Q13a2,with_only_children,2
None,233,55,90,start,2015-05-01,2015-05-31,Q13a2,unknown_household_type,0
1 Condition,120,18,6,start,2015-05-01,2015-05-31,Q13a2,without_children,96
1 Condition,120,18,6,start,2015-05-01,2015-05-31,Q13a2,with_only_children,0
1 Condition,120,18,6,start,2015-05-01,2015-05-31,Q13a2,unknown_household_type,0
2 Conditions,62,5,4,start,2015-05-01,2015-05-31,Q13a2,without_children,53
2 Conditions,62,5,4,start,2015-05-01,2015-05-31,Q13a2,with_only_children,0
2 Conditions,62,5,4,start,2015-05-01,2015-05-31,Q13a2,unknown_household_type,0
3+ Conditions,32,3,1,start,2015-05-01,2015-05-31,Q13a2,without_children,28
3+ Conditions,32,3,1,start,2015-05-01,2015-05-31,Q13a2,with_only_children,0
3+ Conditions,32,3,1,start,2015-05-01,2015-05-31,Q13a2,unknown_household_type,0
Condition Unknown,6,1,3,start,2015-05-01,2015-05-31,Q13a2,without_children,2
Condition Unknown,6,1,3,start,2015-05-01,2015-05-31,Q13a2,with_only_children,0
Condition Unknown,6,1,3,start,2015-05-01,2015-05-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-05-01,2015-05-31,Q13a2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-05-01,2015-05-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-05-01,2015-05-31,Q13a2,unknown_household_type,0
Data Not Collected,6,0,0,start,2015-05-01,2015-05-31,Q13a2,without_children,4
Data Not Collected,6,0,0,start,2015-05-01,2015-05-31,Q13a2,with_only_children,0
Data Not Collected,6,0,0,start,2015-05-01,2015-05-31,Q13a2,unknown_household_type,2
