data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),13,0.16,data_quality,2015-05-01,2015-05-31,Q6c
Income and Sources (4.2) at Start,54,0.15,data_quality,2015-05-01,2015-05-31,Q6c
Income and Sources (4.2) at Annual Assessment,80,0.8,data_quality,2015-05-01,2015-05-31,Q6c
Income and Sources (4.2) at Exit,8,0.14,data_quality,2015-05-01,2015-05-31,Q6c
