data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),1,0,9,10,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Social Security Number (3.2),87,100,55,242,0.16,data_quality,2021-11-01,2021-11-30,Q6a
Date of Birth (3.3),2,12,0,14,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Race (3.4),4,15,0,19,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Ethinicity (3.5),7,10,0,17,0.01,data_quality,2021-11-01,2021-11-30,Q6a
Gender (3.6),0,6,0,6,0.0,data_quality,2021-11-01,2021-11-30,Q6a
Overall Score,0,0,0,261,0.17,data_quality,2021-11-01,2021-11-30,Q6a
