data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),172,151,0.88,data_quality,2021-11-01,2021-11-30,Q6f
Bed Night (All clients in ES - NBN),80,60,0.75,data_quality,2021-11-01,2021-11-30,Q6f
