count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,326,84,146,start,2015-07-01,2015-07-31,Q13a2,without_children,94
None,326,84,146,start,2015-07-01,2015-07-31,Q13a2,with_only_children,2
None,326,84,146,start,2015-07-01,2015-07-31,Q13a2,unknown_household_type,0
1 Condition,115,16,8,start,2015-07-01,2015-07-31,Q13a2,without_children,91
1 Condition,115,16,8,start,2015-07-01,2015-07-31,Q13a2,with_only_children,0
1 Condition,115,16,8,start,2015-07-01,2015-07-31,Q13a2,unknown_household_type,0
2 Conditions,58,6,4,start,2015-07-01,2015-07-31,Q13a2,without_children,48
2 Conditions,58,6,4,start,2015-07-01,2015-07-31,Q13a2,with_only_children,0
2 Conditions,58,6,4,start,2015-07-01,2015-07-31,Q13a2,unknown_household_type,0
3+ Conditions,34,2,1,start,2015-07-01,2015-07-31,Q13a2,without_children,31
3+ Conditions,34,2,1,start,2015-07-01,2015-07-31,Q13a2,with_only_children,0
3+ Conditions,34,2,1,start,2015-07-01,2015-07-31,Q13a2,unknown_household_type,0
Condition Unknown,6,1,2,start,2015-07-01,2015-07-31,Q13a2,without_children,3
Condition Unknown,6,1,2,start,2015-07-01,2015-07-31,Q13a2,with_only_children,0
Condition Unknown,6,1,2,start,2015-07-01,2015-07-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-07-01,2015-07-31,Q13a2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-07-01,2015-07-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-07-01,2015-07-31,Q13a2,unknown_household_type,0
Data Not Collected,8,0,4,start,2015-07-01,2015-07-31,Q13a2,without_children,2
Data Not Collected,8,0,4,start,2015-07-01,2015-07-31,Q13a2,with_only_children,0
Data Not Collected,8,0,4,start,2015-07-01,2015-07-31,Q13a2,unknown_household_type,2
