, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",799,539,245,9,6
"""Black, African American, or African""",268,168,89,9,2
"""Asian or Asian American""",11,3,5,0,3
"""American Indian, Alaska Native, or Indigenous""",4,4,0,0,0
"""Native Hawaiian or Pacific Islander""",8,5,3,0,0
"""Multiple Races""",93,37,53,3,0
"""Client Doesn't Know/Client Refused""",6,6,0,0,0
"""Data Not Collected""",12,2,7,0,3
"""Total""",1201,764,402,21,14
