, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1092,722,340,19,11
"""Hispanic/Latin(a)(o)(x)""",101,40,59,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",7,2,2,0,3
"""Total""",1201,764,402,21,14
