"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",141,124
"""1-3 days""",10,4
"""4-6 days""",19,3
"""7-10 days""",6,9
"""11+ days""",28,61
