"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",39,0.19
"""Income and Sources (4.2) at Start""",183,0.2
"""Income and Sources (4.2) at Annual Assessment""",273,0.82
"""Income and Sources (4.2) at Exit""",67,0.37
