"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",243,141,102
"""31 to 60 days""",93,23,70
"""61 to 90 days""",52,12,40
"""91 to 180 days""",159,13,146
"""181 to 365 days""",153,16,137
"""366 to 730 Days (1-2 Yrs)""",270,3,267
"""731 to 1,095 Days (2-3 Yrs)""",113,0,113
"""1,096 to 1,460 Days (3-4 Yrs)""",44,0,44
"""1,461 to 1,825 Days (5-5 Yrs)""",26,0,26
"""More than 1,825 Days (>5 Yrs)""",48,0,48
"""Data Not Collected""",0,0,0
"""Total""",1201,208,993
