count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,102,31,36,exit,2021-07-01,2021-07-31,Q13b2,without_children,35
None,102,31,36,exit,2021-07-01,2021-07-31,Q13b2,with_only_children,0
None,102,31,36,exit,2021-07-01,2021-07-31,Q13b2,unknown_household_type,0
1 Condition,32,2,4,exit,2021-07-01,2021-07-31,Q13b2,without_children,26
1 Condition,32,2,4,exit,2021-07-01,2021-07-31,Q13b2,with_only_children,0
1 Condition,32,2,4,exit,2021-07-01,2021-07-31,Q13b2,unknown_household_type,0
2 Conditions,14,0,0,exit,2021-07-01,2021-07-31,Q13b2,without_children,14
2 Conditions,14,0,0,exit,2021-07-01,2021-07-31,Q13b2,with_only_children,0
2 Conditions,14,0,0,exit,2021-07-01,2021-07-31,Q13b2,unknown_household_type,0
3+ Conditions,12,0,0,exit,2021-07-01,2021-07-31,Q13b2,without_children,12
3+ Conditions,12,0,0,exit,2021-07-01,2021-07-31,Q13b2,with_only_children,0
3+ Conditions,12,0,0,exit,2021-07-01,2021-07-31,Q13b2,unknown_household_type,0
Condition Unknown,24,2,1,exit,2021-07-01,2021-07-31,Q13b2,without_children,21
Condition Unknown,24,2,1,exit,2021-07-01,2021-07-31,Q13b2,with_only_children,0
Condition Unknown,24,2,1,exit,2021-07-01,2021-07-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,exit,2021-07-01,2021-07-31,Q13b2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,exit,2021-07-01,2021-07-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,exit,2021-07-01,2021-07-31,Q13b2,unknown_household_type,0
Data Not Collected,7,0,7,exit,2021-07-01,2021-07-31,Q13b2,without_children,0
Data Not Collected,7,0,7,exit,2021-07-01,2021-07-31,Q13b2,with_only_children,0
Data Not Collected,7,0,7,exit,2021-07-01,2021-07-31,Q13b2,unknown_household_type,0
