count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,127,31,31,exit,2022-04-01,2022-04-30,Q13b2,without_children,64
None,127,31,31,exit,2022-04-01,2022-04-30,Q13b2,with_only_children,1
None,127,31,31,exit,2022-04-01,2022-04-30,Q13b2,unknown_household_type,0
1 Condition,51,11,5,exit,2022-04-01,2022-04-30,Q13b2,without_children,35
1 Condition,51,11,5,exit,2022-04-01,2022-04-30,Q13b2,with_only_children,0
1 Condition,51,11,5,exit,2022-04-01,2022-04-30,Q13b2,unknown_household_type,0
2 Conditions,14,0,0,exit,2022-04-01,2022-04-30,Q13b2,without_children,14
2 Conditions,14,0,0,exit,2022-04-01,2022-04-30,Q13b2,with_only_children,0
2 Conditions,14,0,0,exit,2022-04-01,2022-04-30,Q13b2,unknown_household_type,0
3+ Conditions,26,1,0,exit,2022-04-01,2022-04-30,Q13b2,without_children,25
3+ Conditions,26,1,0,exit,2022-04-01,2022-04-30,Q13b2,with_only_children,0
3+ Conditions,26,1,0,exit,2022-04-01,2022-04-30,Q13b2,unknown_household_type,0
Condition Unknown,34,8,0,exit,2022-04-01,2022-04-30,Q13b2,without_children,26
Condition Unknown,34,8,0,exit,2022-04-01,2022-04-30,Q13b2,with_only_children,0
Condition Unknown,34,8,0,exit,2022-04-01,2022-04-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-04-01,2022-04-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-04-01,2022-04-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2022-04-01,2022-04-30,Q13b2,unknown_household_type,0
Data Not Collected,48,1,35,exit,2022-04-01,2022-04-30,Q13b2,without_children,9
Data Not Collected,48,1,35,exit,2022-04-01,2022-04-30,Q13b2,with_only_children,3
Data Not Collected,48,1,35,exit,2022-04-01,2022-04-30,Q13b2,unknown_household_type,0
