data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),303,295,0.97,data_quality,2022-04-01,2022-04-30,Q6f
Bed Night (All clients in ES - NBN),198,157,0.79,data_quality,2022-04-01,2022-04-30,Q6f
