count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,326,89,129,start,2016-01-01,2016-01-31,Q13a2,without_children,106
None,326,89,129,start,2016-01-01,2016-01-31,Q13a2,with_only_children,2
None,326,89,129,start,2016-01-01,2016-01-31,Q13a2,unknown_household_type,0
1 Condition,145,19,13,start,2016-01-01,2016-01-31,Q13a2,without_children,113
1 Condition,145,19,13,start,2016-01-01,2016-01-31,Q13a2,with_only_children,0
1 Condition,145,19,13,start,2016-01-01,2016-01-31,Q13a2,unknown_household_type,0
2 Conditions,75,6,2,start,2016-01-01,2016-01-31,Q13a2,without_children,67
2 Conditions,75,6,2,start,2016-01-01,2016-01-31,Q13a2,with_only_children,0
2 Conditions,75,6,2,start,2016-01-01,2016-01-31,Q13a2,unknown_household_type,0
3+ Conditions,38,4,1,start,2016-01-01,2016-01-31,Q13a2,without_children,33
3+ Conditions,38,4,1,start,2016-01-01,2016-01-31,Q13a2,with_only_children,0
3+ Conditions,38,4,1,start,2016-01-01,2016-01-31,Q13a2,unknown_household_type,0
Condition Unknown,7,1,1,start,2016-01-01,2016-01-31,Q13a2,without_children,5
Condition Unknown,7,1,1,start,2016-01-01,2016-01-31,Q13a2,with_only_children,0
Condition Unknown,7,1,1,start,2016-01-01,2016-01-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,start,2016-01-01,2016-01-31,Q13a2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,start,2016-01-01,2016-01-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,start,2016-01-01,2016-01-31,Q13a2,unknown_household_type,0
Data Not Collected,8,0,3,start,2016-01-01,2016-01-31,Q13a2,without_children,3
Data Not Collected,8,0,3,start,2016-01-01,2016-01-31,Q13a2,with_only_children,0
Data Not Collected,8,0,3,start,2016-01-01,2016-01-31,Q13a2,unknown_household_type,2
