data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),11,0.06,data_quality,2017-08-01,2017-08-31,Q6c
Income and Sources (4.2) at Start,57,0.13,data_quality,2017-08-01,2017-08-31,Q6c
Income and Sources (4.2) at Annual Assessment,97,0.7,data_quality,2017-08-01,2017-08-31,Q6c
Income and Sources (4.2) at Exit,19,0.19,data_quality,2017-08-01,2017-08-31,Q6c
