, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",466,232,231,2,1
"""Hispanic/Latin(a)(o)(x)""",40,20,20,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",507,252,251,2,2
