"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",52,23
"""1-3 days""",5,5
"""4-6 days""",12,5
"""7-10 days""",12,5
"""11+ days""",42,38
