count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,236,43,85,exit,2019-07-01,2019-07-31,Q13b2,without_children,108
None,236,43,85,exit,2019-07-01,2019-07-31,Q13b2,with_only_children,0
None,236,43,85,exit,2019-07-01,2019-07-31,Q13b2,unknown_household_type,0
1 Condition,40,7,0,exit,2019-07-01,2019-07-31,Q13b2,without_children,33
1 Condition,40,7,0,exit,2019-07-01,2019-07-31,Q13b2,with_only_children,0
1 Condition,40,7,0,exit,2019-07-01,2019-07-31,Q13b2,unknown_household_type,0
2 Conditions,31,3,1,exit,2019-07-01,2019-07-31,Q13b2,without_children,27
2 Conditions,31,3,1,exit,2019-07-01,2019-07-31,Q13b2,with_only_children,0
2 Conditions,31,3,1,exit,2019-07-01,2019-07-31,Q13b2,unknown_household_type,0
3+ Conditions,19,3,0,exit,2019-07-01,2019-07-31,Q13b2,without_children,16
3+ Conditions,19,3,0,exit,2019-07-01,2019-07-31,Q13b2,with_only_children,0
3+ Conditions,19,3,0,exit,2019-07-01,2019-07-31,Q13b2,unknown_household_type,0
Condition Unknown,65,4,3,exit,2019-07-01,2019-07-31,Q13b2,without_children,58
Condition Unknown,65,4,3,exit,2019-07-01,2019-07-31,Q13b2,with_only_children,0
Condition Unknown,65,4,3,exit,2019-07-01,2019-07-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-07-01,2019-07-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-07-01,2019-07-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-07-01,2019-07-31,Q13b2,unknown_household_type,0
Data Not Collected,18,0,3,exit,2019-07-01,2019-07-31,Q13b2,without_children,15
Data Not Collected,18,0,3,exit,2019-07-01,2019-07-31,Q13b2,with_only_children,0
Data Not Collected,18,0,3,exit,2019-07-01,2019-07-31,Q13b2,unknown_household_type,0
