, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",412,242,167,2,1
"""Hispanic/Latin(a)(o)(x)""",43,24,19,0,0
"""Client Doesn't Know/Client Refused""",2,2,0,0,0
"""Data Not Collected""",2,1,0,0,1
"""Total""",459,269,186,2,2
