"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",87,50
"""1-3 days""",1,5
"""4-6 days""",10,3
"""7-10 days""",7,4
"""11+ days""",17,20
