, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",983,567,398,13,5
"""Hispanic/Latin(a)(o)(x)""",102,33,67,2,0
"""Client Doesn't Know/Client Refused""",2,0,2,0,0
"""Data Not Collected""",2,0,1,0,1
"""Total""",1089,600,468,15,6
