"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",23,0.06
"""Income and Sources (4.2) at Start""",224,0.28
"""Income and Sources (4.2) at Annual Assessment""",79,0.57
"""Income and Sources (4.2) at Exit""",169,0.52
