"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",296,300
"""1-3 days""",49,21
"""4-6 days""",15,3
"""7-10 days""",5,6
"""11+ days""",90,67
