"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",38,27,11
"""31 to 60 days""",4,2,2
"""61 to 90 days""",5,1,4
"""91 to 180 days""",9,0,9
"""181 to 365 days""",4,0,4
"""366 to 730 Days (1-2 Yrs)""",6,0,6
"""731 to 1,095 Days (2-3 Yrs)""",2,0,2
"""1,096 to 1,460 Days (3-4 Yrs)""",3,0,3
"""1,461 to 1,825 Days (5-5 Yrs)""",0,0,0
"""More than 1,825 Days (>5 Yrs)""",1,0,1
"""Data Not Collected""",0,0,0
"""Total""",72,30,42
