, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",0,0,0,0,0
"""July""",380,291,88,0,1
"""October""",0,0,0,0,0
