data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),33,33,1.0,data_quality,2020-09-01,2020-09-30,Q6f
Bed Night (All clients in ES - NBN),1,1,1.0,data_quality,2020-09-01,2020-09-30,Q6f
