"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",172,59,113
"""31 to 60 days""",150,43,107
"""61 to 90 days""",63,18,45
"""91 to 180 days""",96,13,83
"""181 to 365 days""",40,4,36
"""366 to 730 Days (1-2 Yrs)""",16,0,16
"""731 to 1,095 Days (2-3 Yrs)""",11,0,11
"""1,096 to 1,460 Days (3-4 Yrs)""",17,0,17
"""1,461 to 1,825 Days (5-5 Yrs)""",12,0,12
"""More than 1,825 Days (>5 Yrs)""",52,0,52
"""Data Not Collected""",0,0,0
"""Total""",629,137,492
