"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",29,0.21
"""Income and Sources (4.2) at Start""",64,0.14
"""Income and Sources (4.2) at Annual Assessment""",69,0.7
"""Income and Sources (4.2) at Exit""",8,0.09
