, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",576,285,288,2,1
"""Hispanic/Latin(a)(o)(x)""",51,30,20,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",2,1,0,0,1
"""Total""",629,316,308,3,2
