"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",54,50
"""1-3 days""",2,0
"""4-6 days""",1,3
"""7-10 days""",6,13
"""11+ days""",96,71
