"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",163,111
"""1-3 days""",11,11
"""4-6 days""",9,2
"""7-10 days""",9,1
"""11+ days""",48,48
