"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",2,0.01
"""Income and Sources (4.2) at Start""",175,0.22
"""Income and Sources (4.2) at Annual Assessment""",221,0.8
"""Income and Sources (4.2) at Exit""",77,0.49
