"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",62,95
"""1-3 days""",34,3
"""4-6 days""",5,3
"""7-10 days""",9,6
"""11+ days""",31,63
