"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",11,0.06
"""Income and Sources (4.2) at Start""",57,0.13
"""Income and Sources (4.2) at Annual Assessment""",97,0.7
"""Income and Sources (4.2) at Exit""",19,0.19
