"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",156,38,118
"""31 to 60 days""",121,47,74
"""61 to 90 days""",80,40,40
"""91 to 180 days""",90,35,55
"""181 to 365 days""",37,7,30
"""366 to 730 Days (1-2 Yrs)""",48,1,47
"""731 to 1,095 Days (2-3 Yrs)""",23,0,23
"""1,096 to 1,460 Days (3-4 Yrs)""",4,0,4
"""1,461 to 1,825 Days (5-5 Yrs)""",15,0,15
"""More than 1,825 Days (>5 Yrs)""",65,2,63
"""Data Not Collected""",0,0,0
"""Total""",639,170,469
